# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
31300 6.14397 5.07792 6.35644 17.5783
31400 5.95126 5.40246 6.49623 17.85
31500 5.66394 5.16617 6.27928 17.1094
31600 5.96878 5.34631 6.18786 17.5029
31700 5.94866 5.49442 6.40818 17.8513
31800 6.57278 5.4648 6.40096 18.4385
31900 6.3817 5.56629 6.14436 18.0924
32000 6.47862 5.50419 6.58155 18.5644
32100 6.24961 5.6393 6.75876 18.6477
32200 6.37674 5.09898 6.14411 17.6198
32300 6.7869 5.49156 6.8254 19.1039
32400 6.67511 5.45371 6.66473 18.7935
32500 6.50952 5.8084 6.11845 18.4364
32600 6.52089 5.34916 6.57359 18.4436
32700 6.45659 6.20505 6.89877 19.5604
32800 6.46074 5.90488 6.91234 19.2779
32900 6.48871 5.67102 6.50501 18.6647
33000 6.24289 5.70321 6.97628 18.9224
33100 6.4669 5.79274 6.55711 18.8167
33200 6.12405 5.97856 6.86333 18.9659
33300 6.64779 5.77006 6.65755 19.0754
33400 6.16119 6.09649 6.47435 18.732
33500 6.4252 5.9247 6.13619 18.4861
33600 6.6042 6.02193 6.81135 19.4375
33700 6.4616 6.04548 6.71128 19.2184
33800 6.3976 6.38642 6.95929 19.7433
33900 6.75254 6.26769 7.21559 20.2358
34000 6.42398 6.29695 6.73292 19.4539
34100 6.57208 6.3634 6.62342 19.5589
34200 6.46858 6.62485 6.74507 19.8385
34300 6.45995 6.41883 6.95429 19.8331
34400 6.59486 6.48658 6.58543 19.6669
34500 7.08352 6.49054 6.86042 20.4345
34600 6.69341 6.2179 7.29954 20.2109
34700 6.93598 6.47346 7.26285 20.6723
34800 7.36298 6.07895 7.613 21.0549
34900 7.2276 6.23648 7.6505 21.1146
35000 7.16688 6.13452 7.48514 20.7865
35100 7.14988 6.34678 6.98602 20.4827
35200 7.21554 6.34635 6.96122 20.5231
35300 7.02776 6.4447 7.24044 20.7129
35400 7.19481 6.19092 7.39591 20.7816
35500 7.14185 6.49344 7.10831 20.7436
35600 7.29579 6.17042 7.09332 20.5595
35700 7.0744 6.42983 7.08181 20.586
35800 7.10818 6.78573 7.35965 21.2536
35900 7.01759 6.64946 6.9008 20.5679
36000 7.22972 7.19935 7.3639 21.793
36100 7.52314 6.70052 7.30249 21.5261
36200 7.8106 6.8417 7.22424 21.8765
36300 7.29217 6.97839 6.79207 21.0626
36400 7.37545 7.06297 6.93625 21.3747
36500 7.39571 7.08027 7.2126 21.6886
36600 7.46225 7.4929 6.99292 21.9481
36700 7.41041 7.62338 6.659 21.6928
36800 7.15246 6.91719 7.03574 21.1054
36900 7.05227 7.60547 6.80377 21.4615
37000 6.95251 7.27955 6.98595 21.218
37100 7.08629 7.05253 6.94824 21.0871
37200 7.08599 7.24643 6.79542 21.1278
37300 7.23935 7.28245 7.04337 21.5652
37400 7.17027 7.16819 7.253 21.5915
37500 6.89584 6.85903 6.71151 20.4664
37600 7.19503 7.22589 7.0518 21.4727
37700 7.65829 7.30105 6.66293 21.6223
37800 7.37355 6.82802 7.11579 21.3174
37900 7.82348 7.20265 7.37908 22.4052
38000 7.85411 7.24355 7.31877 22.4164
38100 7.79165 7.0419 7.4455 22.279
38200 7.73813 7.10942 7.89538 22.7429
38300 7.79481 7.21256 7.76124 22.7686
38400 7.31487 7.54877 7.39248 22.2561
38500 7.22617 7.47117 7.50392 22.2013
38600 7.19334 7.32499 7.5431 22.0614
38700 7.58992 7.25342 7.51846 22.3618
38800 7.36186 7.53536 7.52687 22.4241
38900 8.19457 7.56676 7.65656 23.4179
39000 7.63316 8.01068 7.21367 22.8575
39100 8.17089 7.82655 7.8008 23.7982
39200 7.70917 7.94592 7.43483 23.0899
39300 7.48917 7.59583 7.24797 22.333
39400 7.42742 8.0119 7.95675 23.3961
39500 7.584 8.16059 7.77084 23.5154
39600 7.36546 8.54758 7.69486 23.6079
39700 7.48964 8.35918 7.77212 23.6209
39800 7.43234 7.9282 7.56277 22.9233
39900 7.50619 7.5842 7.24107 22.3315
40000 7.23574 8.00428 7.10969 22.3497
